Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
SVM (RBF Kernel),0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
XGBoost,0.9473684210526315,0.9459459459459459,0.9722222222222222,0.958904109589041,0.9940476190476191
Random Forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313
